,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22p,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-06-6388,-1.0,-0.9925373134328358,-0.005235602094240838,-0.003766478342749529,-0.024324324324324326,0.0,-0.001652892561983471,-0.2982261640798226,-0.03072033898305085,-0.01818181818181818,-0.10612244897959183,0.0,0.0018467220683287165,0.0,-0.3367003367003367,1.0,0.982642237222758,0.000697350069735007,0.0047430830039525695,1.0,1.0,-1.0,0.0,0.0,0.0,-0.008955223880597015,-0.0018674136321195146,0.0029455081001472753,0.004895960832313341,-0.006430868167202572,-0.08531468531468532,0.0,-0.000992063492063492,-0.005018820577164366,0.0,1.0,1.0,-0.024390243902439025,0.0,-0.20132013201320131,-0.043478260869565216
TCGA-06-6389,0.6617647058823529,-0.04477611940298507,-1.0,1.0,1.0,-1.0,-0.7239669421487603,-1.0,0.09004237288135593,-1.0,-1.0,-0.004514672686230248,-0.04524469067405355,0.0,0.7037037037037037,-0.9607293127629734,-0.08293153326904533,-0.08577405857740586,0.0766798418972332,0.011627906976744186,-0.40159045725646125,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1858076563958917,0.0,-0.051407588739290085,-0.3183279742765273,-0.9944055944055944,-0.6983471074380165,-0.44047619047619047,-0.002509410288582183,-0.03648424543946932,-0.006802721088435374,-0.014251781472684086,-0.12737127371273713,0.6705107084019769,-0.1254125412541254,-0.005115089514066497
TCGA-06-6390,-1.0,-1.0,-0.0017452006980802793,0.002824858757062147,-0.9837837837837838,-0.7023686920700309,0.003305785123966942,-1.0,-0.034957627118644065,-0.0049586776859504135,-0.12653061224489795,-0.006772009029345372,0.0,0.0,0.026936026936026935,0.0,0.0,-0.05160390516039052,-0.18102766798418973,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-0.0056022408963585435,-1.0,-0.9951040391676866,0.00964630225080386,-0.09230769230769231,0.02066115702479339,-0.013888888888888888,-1.0,-1.0,1.0,0.995249406175772,0.016260162601626018,-0.21252059308072488,0.0,-0.0012787723785166241
TCGA-06-6391,0.003676470588235294,-0.0024875621890547263,-0.005235602094240838,0.0,0.002702702702702703,0.976313079299691,0.32231404958677684,0.09977827050997783,0.028601694915254237,-0.05785123966942149,-1.0,0.009029345372460496,-0.040627885503231764,0.0,0.0,-0.001402524544179523,0.0,-0.005578800557880056,-0.0007905138339920949,0.003875968992248062,0.0,-1.0,0.0,0.0,-0.004878048780487805,0.9955223880597015,-0.08496732026143791,-0.0014727540500736377,0.3108935128518972,0.0,-0.011188811188811189,0.40082644628099173,0.000992063492063492,0.0,0.0,0.6825396825396826,0.5902612826603325,-0.0027100271002710027,-0.0016474464579901153,0.30363036303630364,-0.02557544757033248
TCGA-06-6693,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.019955654101995565,-0.011652542372881356,-0.05785123966942149,-1.0,0.04288939051918736,0.007386888273314866,0.0,-0.04713804713804714,0.0,-0.4127290260366442,-0.17154811715481172,-0.0007905138339920949,-0.003875968992248062,-0.0019880715705765406,-1.0,-0.9785932721712538,-1.0,-1.0,0.0,-0.011204481792717087,0.0,-0.10281517747858017,-1.0,-0.37902097902097903,0.0,0.0,0.0,-0.001658374792703151,-0.07936507936507936,-0.0035629453681710215,-1.0,0.009884678747940691,-0.8217821782178217,-0.0038363171355498722
TCGA-06-6694,-0.7463235294117647,-0.19402985074626866,-0.9912739965095986,-0.71939736346516,-0.6162162162162163,-0.9093717816683831,-0.996694214876033,0.025498891352549888,-0.9661016949152542,-0.019834710743801654,-0.004081632653061225,0.4762979683972912,0.9122807017543859,-0.9823008849557522,-1.0,0.008415147265077139,-0.003857280617164899,0.021617852161785217,0.015810276679841896,-0.007751937984496124,-0.0019880715705765406,-0.5348837209302325,-1.0,0.0,0.011382113821138212,-0.991044776119403,-0.9971988795518207,0.0014727540500736377,0.4749082007343941,0.04823151125401929,0.002797202797202797,0.0,-0.00496031746031746,-1.0,-1.0,1.0,0.997624703087886,0.8590785907859079,0.9489291598023064,-0.966996699669967,-1.0
TCGA-06-6695,-0.7095588235294118,-1.0,0.006980802792321117,0.0,0.013513513513513514,-0.021627188465499485,0.0049586776859504135,0.02328159645232816,-0.02754237288135593,0.0,0.0020408163265306124,0.0,-0.002770083102493075,-1.0,0.0,0.9971949509116409,1.0,-0.003486750348675035,0.0015810276679841897,1.0,0.9960238568588469,-1.0,-0.08868501529051988,0.0,-0.18048780487804877,0.0,0.0,-0.0029455081001472753,0.13096695226438188,-0.022508038585209004,0.04195804195804196,-0.2024793388429752,0.0,-0.006273525721455458,0.0,1.0,0.9928741092636579,0.051490514905149054,-0.006589785831960461,-0.9900990099009901,-0.043478260869565216
TCGA-06-6697,-0.9926470588235294,-1.0,0.0,0.0,-0.03513513513513514,0.0,0.0049586776859504135,-0.9800443458980045,-0.03919491525423729,0.0,-0.00816326530612245,-0.01580135440180587,-0.09325946445060018,0.0,0.0,0.0,-0.33365477338476374,-0.00906555090655509,0.0047430830039525695,1.0,0.9761431411530815,-0.023255813953488372,0.0,0.0,-0.6991869918699187,0.0,0.003734827264239029,0.0014727540500736377,0.0024479804161566705,1.0,0.005594405594405594,0.0,-0.00992063492063492,0.2973651191969887,-0.001658374792703151,1.0,1.0,-0.04336043360433604,0.0,-0.9471947194719472,-0.00639386189258312
TCGA-06-6698,-0.9926470588235294,-1.0,0.08551483420593368,0.01694915254237288,0.008108108108108109,-0.018537590113285273,0.001652892561983471,-0.270509977827051,-0.029661016949152543,-0.9735537190082645,-0.9693877551020408,0.009029345372460496,-0.0886426592797784,1.0,1.0,-0.26788218793828894,0.8389585342333655,0.9595536959553695,0.9905138339920949,1.0,1.0,0.46511627906976744,0.9204892966360856,1.0,-0.9642276422764228,-0.0014925373134328358,-0.17553688141923435,-0.0014727540500736377,0.0,-0.006430868167202572,-0.002797202797202797,-0.1446280991735537,-0.012896825396825396,-0.30489335006273527,0.0,1.0,0.997624703087886,0.0,-0.0016474464579901153,-0.0033003300330033004,0.0
TCGA-06-6699,-1.0,-0.9987562189054726,-0.18150087260034903,-0.18926553672316385,-0.02972972972972973,0.02265705458290422,0.009917355371900827,-0.9811529933481153,0.03177966101694915,-0.49586776859504134,-0.15714285714285714,-0.029345372460496615,-0.08125577100646353,0.0,-0.026936026936026935,0.97054698457223,0.1485053037608486,-0.012552301255230125,-0.011857707509881422,-0.003875968992248062,-0.13518886679920478,-1.0,0.0,-1.0,-0.18699186991869918,-0.007462686567164179,0.003734827264239029,0.044182621502209134,0.004895960832313341,-0.006430868167202572,-0.011188811188811189,-0.1652892561983471,-0.000992063492063492,-0.11543287327478043,-0.0779436152570481,1.0,0.9893111638954869,0.005420054200542005,-0.19769357495881384,-1.0,-0.1278772378516624
