,1p_GDC_hg19,1q_GDC_hg19,19p_GDC_hg19,19q_GDC_hg19,1p_GDC_hg38,1q_GDC_hg38,19p_GDC_hg38,19q_GDC_hg38,1p_UCSC_hg19,1q_UCSC_hg19,19p_UCSC_hg19,19q_UCSC_hg19
TCGA-HT-7611,-0.0031720856463124504,-0.005176876617773943,0.0,0.0,-0.012552301255230125,-0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-HT-7616,-0.9936558287073751,-0.0181190681622088,0.0,-1.0,-0.9895397489539749,-0.0007905138339920949,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7620,-0.9888977002379065,-0.0008628127696289905,-0.001466275659824047,-0.997078870496592,-0.9825662482566249,-0.0007905138339920949,-0.001402524544179523,-0.9971070395371263,-0.99768875192604,0.0,-0.002967359050445104,-0.9774678111587983
TCGA-HT-7676,-0.011895321173671689,-0.0008628127696289905,0.0,0.0,-0.003486750348675035,-0.0031620553359683794,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-HT-7677,-0.992862807295797,-0.0362381363244176,-0.002932551319648094,-0.9990262901655307,-1.0,-0.0007905138339920949,-0.002805049088359046,-0.9980713596914176,-0.99768875192604,0.0,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7681,-0.9920697858842189,-0.02070750647109577,0.0,-1.0,-0.9874476987447699,-0.005533596837944664,-0.001402524544179523,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7684,0.0,-0.001725625539257981,0.0,-0.0019474196689386564,-0.011157601115760111,-0.0015810276679841897,0.0,-0.0019286403085824494,0.0,0.0,0.0,0.0
TCGA-HT-7686,-0.011102299762093577,-0.0025884383088869713,0.0,-0.0019474196689386564,-0.015341701534170154,-0.0023715415019762848,-0.182328190743338,-0.017357762777242044,0.0,0.0,0.0,0.0
TCGA-HT-7687,-0.9920697858842189,-0.004314063848144953,0.0,-1.0,-0.9874476987447699,-0.0007905138339920949,0.0,-1.0,-1.0,-0.060453400503778336,-0.002967359050445104,-0.9989270386266095
TCGA-HT-7688,-0.43695479777954005,-0.0025884383088869713,-0.7360703812316716,-0.9883154819863681,-0.5718270571827058,-0.003952569169960474,-0.7068723702664796,-0.9942140790742526,0.0,0.0,-1.0,-0.9635193133047211
