,7_TCGA_hg19,10_TCGA_hg19,EGFR_hg19,7_TCGA_hg38,10_TCGA_hg38,EGFR_hg38,7_UCSC_hg19,10_UCSC_hg19,EGFR_ucsc
TCGA-14-2554,0.9991334488734835,-0.9714889123548046,2.0,0.9992205767731879,-0.9795539033457249,2.0,0.9991416309012876,-0.9888551165146909,2.0
TCGA-14-4157,0.9948006932409013,-0.2840549102428722,1.0,0.9968823070927514,-0.2815985130111524,1.0,0.9991416309012876,-0.24113475177304963,1.0
TCGA-15-0742,0.9956672443674177,-1.0,2.0,0.9976617303195635,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-16-0846,0.9939341421143848,-0.36219640971488914,1.0,0.9984411535463756,-0.5585501858736059,1.0,0.9991416309012876,-0.10638297872340426,1.0
TCGA-16-0848,1.0,-0.9926082365364308,1.0,1.0,-0.9934944237918215,2.0,0.9991416309012876,-0.9949341438703141,1.0
TCGA-16-0861,0.9939341421143848,-0.5332629355860612,2.0,0.990646921278254,-0.5074349442379182,2.0,0.9974248927038627,-0.48632218844984804,2.0
TCGA-16-1045,0.9974003466204506,-1.0,2.0,0.9976617303195635,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-16-1048,0.9896013864818024,-0.9978880675818373,2.0,0.9976617303195635,-0.9990706319702602,2.0,0.9991416309012876,-1.0,2.0
TCGA-19-1390,0.9948006932409013,-0.006335797254487857,1.0,0.9976617303195635,-0.02509293680297398,1.0,0.9982832618025751,-0.02127659574468085,1.0
TCGA-19-1787,0.8977469670710572,-0.023231256599788808,1.0,0.8908807482462977,-0.012081784386617101,1.0,0.8969957081545065,0.0,1.0
TCGA-19-2619,0.8535528596187175,-0.8743400211193242,2.0,0.8511301636788776,-0.862453531598513,2.0,0.8575107296137339,-0.8693009118541033,2.0
TCGA-19-2620,0.16724436741767765,-1.0,2.0,0.15900233826968044,-1.0,2.0,0.14678111587982834,-1.0,2.0
TCGA-19-2623,1.0,-0.9989440337909187,1.0,0.9992205767731879,-0.9962825278810409,1.0,0.9991416309012876,-1.0,1.0
TCGA-19-2624,0.9948006932409013,-0.9883843717001056,2.0,0.9961028838659393,-0.9897769516728625,2.0,0.9991416309012876,-0.9898682877406282,2.0
TCGA-19-2625,0.006932409012131715,-0.9841605068637803,0.0,0.012470771628994544,-0.9851301115241635,0.0,0.0,-1.0,0.0
TCGA-19-2629,0.91421143847487,-0.9989440337909187,1.0,0.926734216679657,-0.9990706319702602,1.0,0.9991416309012876,-1.0,1.0
TCGA-19-2631,0.9610051993067591,-1.0,2.0,0.9454403741231489,-1.0,2.0,0.9450643776824035,-1.0,2.0
TCGA-19-4065,1.0,-1.0,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-19-5947,0.9991334488734835,-0.9915522703273495,1.0,0.9992205767731879,-0.9981412639405205,1.0,0.9991416309012876,-0.9989868287740629,1.0
TCGA-19-5950,0.9974003466204506,-1.0,2.0,1.0,-1.0,2.0,0.9991416309012876,-1.0,2.0
TCGA-19-5951,0.010398613518197574,-1.0,2.0,0.005455962587685113,-1.0,2.0,0.004291845493562232,-1.0,2.0
TCGA-19-5952,0.9922010398613518,-0.9852164730728616,2.0,0.9992205767731879,-0.991635687732342,2.0,0.9991416309012876,-1.0,2.0
TCGA-19-5953,0.9982668977469671,-0.9989440337909187,1.0,0.9984411535463756,-0.991635687732342,1.0,0.9991416309012876,-1.0,1.0
TCGA-19-5954,0.988734835355286,-1.0,2.0,0.9922057677318784,-1.0,2.0,0.9888412017167382,-1.0,1.0
TCGA-19-5955,1.0,-1.0,1.0,1.0,-1.0,1.0,0.9991416309012876,-1.0,1.0
TCGA-19-5956,0.0025996533795493936,-0.7486800422386484,0.0,0.005455962587685113,-0.7342007434944238,0.0,0.0,-0.7406281661600811,0.0
TCGA-19-5958,0.9991334488734835,-0.6399155227032735,1.0,1.0,-0.6217472118959108,1.0,0.9991416309012876,-0.6362715298885512,1.0
