,umap1,umap2
TCGA-CS-4941,5.955639,11.324888
TCGA-CS-4942,0.51079386,14.240281
TCGA-CS-4943,-0.48671144,11.994186
TCGA-CS-4944,-0.84995896,11.866353
TCGA-CS-5390,-3.3876007,7.896876
TCGA-CS-5393,-0.7284147,12.850951
TCGA-CS-5394,-3.2921011,7.911607
TCGA-CS-5395,7.882784,9.524915
TCGA-CS-5396,-1.7281764,7.032833
TCGA-CS-5397,8.328267,9.269437
TCGA-CS-6186,8.1174,9.714956
TCGA-CS-6188,7.190522,9.56238
TCGA-CS-6290,-1.0012213,13.429278
TCGA-CS-6665,6.032176,11.05117
TCGA-CS-6666,-0.15406585,12.360868
TCGA-CS-6667,-0.90595883,12.981945
TCGA-CS-6668,-3.4723673,6.5759964
TCGA-CS-6670,-2.5584817,7.0819755
TCGA-DB-5270,0.20460425,14.20194
TCGA-DB-5273,-0.97104007,13.030114
TCGA-DB-5274,-0.8057823,7.37764
TCGA-DB-5275,-1.1326976,8.5422735
TCGA-DB-5276,0.5354607,12.757739
TCGA-DB-5277,1.1445503,12.624288
TCGA-DB-5278,-3.678671,6.7768393
TCGA-DB-5279,-0.97569543,7.4858937
TCGA-DB-5280,-0.8895268,12.627113
TCGA-DB-5281,0.254594,12.889957
TCGA-DB-A4X9,0.52709633,13.622087
TCGA-DB-A4XA,-0.8972559,7.540735
TCGA-DB-A4XB,-0.07405477,12.890023
TCGA-DB-A4XC,-0.74832827,13.24501
TCGA-DB-A4XD,-0.36312237,13.701618
TCGA-DB-A4XE,0.20141983,14.256156
TCGA-DB-A4XF,-0.8352737,12.474381
TCGA-DB-A4XG,-2.9308212,7.6126385
TCGA-DB-A4XH,-1.0818492,7.4888773
TCGA-DB-A64L,-2.0391996,7.0792117
TCGA-DB-A64O,5.0052586,11.415202
TCGA-DB-A64P,-3.7623649,6.775181
TCGA-DB-A64Q,-3.1000493,7.984013
TCGA-DB-A64R,-3.4700193,6.5582705
TCGA-DB-A64S,-0.15869655,13.663086
TCGA-DB-A64U,-3.5972817,7.398878
TCGA-DB-A64V,-3.3699145,7.7469616
TCGA-DB-A64W,-0.76966965,8.077472
TCGA-DB-A64X,0.4473363,12.844394
TCGA-DB-A75K,-3.3486712,7.591333
TCGA-DB-A75L,-2.2926927,7.0050035
TCGA-DB-A75M,-0.57746243,12.555695
TCGA-DB-A75O,-0.2651639,13.138901
TCGA-DH-5141,-3.4160655,7.786618
TCGA-DH-5142,0.4637521,11.228588
TCGA-DH-5143,-0.35186934,12.915266
TCGA-DH-5144,-2.0571032,6.9073696
TCGA-DH-A669,-1.2280608,6.9643793
TCGA-DH-A66B,0.67360663,11.831786
TCGA-DH-A66D,0.7680681,12.857038
TCGA-DH-A66F,-2.6200356,8.145518
TCGA-DH-A66G,0.66821706,12.765212
TCGA-DH-A7UR,-3.4733145,7.5896854
TCGA-DH-A7US,-3.446562,7.6841207
TCGA-DH-A7UT,0.17917883,14.169312
TCGA-DH-A7UU,1.0047349,12.74154
TCGA-DH-A7UV,0.061891466,14.055887
TCGA-DU-5847,4.3083124,11.442485
TCGA-DU-5849,-2.8260174,6.9852557
TCGA-DU-5851,-0.40967092,11.982309
TCGA-DU-5852,4.7368555,10.602333
TCGA-DU-5853,0.5207614,12.127455
TCGA-DU-5854,7.704394,9.595023
TCGA-DU-5855,-0.8997259,11.68119
TCGA-DU-5870,-2.8081305,7.8152466
TCGA-DU-5871,0.26160473,12.433867
TCGA-DU-5872,-0.7514186,11.876343
TCGA-DU-5874,-3.372889,6.5251946
TCGA-DU-6393,-1.9482483,7.077991
TCGA-DU-6394,-3.415487,7.0157633
TCGA-DU-6395,0.40222695,14.318299
TCGA-DU-6396,-0.4514565,12.344088
TCGA-DU-6397,-2.2891665,7.0751743
TCGA-DU-6399,1.8110284,12.583471
TCGA-DU-6400,-1.5154761,7.036507
TCGA-DU-6401,0.6078471,12.138485
TCGA-DU-6402,7.7933726,12.074997
TCGA-DU-6403,4.5912266,12.824515
TCGA-DU-6405,4.63343,13.149856
TCGA-DU-6406,7.9324102,9.5618105
TCGA-DU-6407,0.3886109,14.4499655
TCGA-DU-6408,1.0591815,12.543598
TCGA-DU-6410,-0.6406705,7.7905855
TCGA-DU-6542,-0.8477522,11.669765
TCGA-DU-7006,5.6837945,12.802557
TCGA-DU-7007,1.3283634,12.242203
TCGA-DU-7008,1.0310391,12.007424
TCGA-DU-7009,-2.8517392,7.3053184
TCGA-DU-7010,1.5865948,12.332555
TCGA-DU-7011,0.4022231,14.178327
TCGA-DU-7012,4.5919013,11.850412
TCGA-DU-7013,5.055622,13.335683
TCGA-DU-7015,-0.7662605,13.176487
TCGA-DU-7018,-1.6868818,7.049556
TCGA-DU-7019,-0.78931916,12.90397
TCGA-DU-7290,5.6187115,11.090996
TCGA-DU-7292,4.4158564,13.273219
TCGA-DU-7294,-0.7129902,8.0523615
TCGA-DU-7298,-0.7889193,11.684101
TCGA-DU-7299,-0.9403395,13.07681
TCGA-DU-7300,-2.9405155,7.669177
TCGA-DU-7301,1.4562947,12.812319
TCGA-DU-7302,-1.2929481,8.087684
TCGA-DU-7304,-0.59868777,13.282421
TCGA-DU-7306,-0.32495683,13.603229
TCGA-DU-7309,0.20253862,13.142803
TCGA-DU-8158,5.394226,11.798076
TCGA-DU-8161,5.159519,11.721144
TCGA-DU-8162,-0.4445719,12.840371
TCGA-DU-8163,0.4037829,14.4038315
TCGA-DU-8164,-3.6750405,6.882321
TCGA-DU-8165,6.5759525,10.920077
TCGA-DU-8166,0.46377936,14.119221
TCGA-DU-8167,0.40560398,11.753767
TCGA-DU-8168,-0.9145807,8.17946
TCGA-DU-A5TP,-1.1347709,12.916095
TCGA-DU-A5TR,0.23275298,14.180984
TCGA-DU-A5TS,-0.51843524,12.698329
TCGA-DU-A5TT,6.446381,10.5599
TCGA-DU-A5TU,0.58567613,13.981287
TCGA-DU-A5TW,0.55835503,13.863959
TCGA-DU-A5TY,5.6802974,9.940982
TCGA-DU-A6S2,-3.3332639,7.2729597
TCGA-DU-A6S3,-0.9028861,7.528144
TCGA-DU-A6S6,-3.3067372,6.6283917
TCGA-DU-A6S7,0.3578361,13.370895
TCGA-DU-A6S8,-1.781183,7.1530375
TCGA-DU-A76K,8.240462,9.619055
TCGA-DU-A76L,5.2249665,10.285678
TCGA-DU-A76O,-0.18825893,13.45129
TCGA-DU-A76R,-0.88588214,7.4757066
TCGA-DU-A7T6,-1.8217707,7.8814554
TCGA-DU-A7T8,-0.22019702,11.066852
TCGA-DU-A7TA,0.0041061053,14.392119
TCGA-DU-A7TC,-0.95669824,11.741976
TCGA-DU-A7TD,4.0452185,13.01206
TCGA-DU-A7TJ,8.067159,11.615202
TCGA-E1-5302,0.9430512,12.339796
TCGA-E1-5303,-0.9100815,13.543675
TCGA-E1-5304,6.770494,10.61264
TCGA-E1-5305,-0.6924577,11.669896
TCGA-E1-5307,-1.0051007,12.590895
TCGA-E1-5311,-0.8359965,7.4365797
TCGA-E1-5318,-3.4123554,7.088512
TCGA-E1-5319,-3.2345893,7.4898787
TCGA-E1-5322,-0.773712,11.150548
TCGA-E1-A7YD,5.950651,11.264368
TCGA-E1-A7YE,1.3102267,12.722193
TCGA-E1-A7YH,0.13180359,11.954838
TCGA-E1-A7YI,0.6148301,12.958726
TCGA-E1-A7YJ,8.0337925,9.570973
TCGA-E1-A7YK,0.9434586,12.146034
TCGA-E1-A7YL,7.6619334,10.235461
TCGA-E1-A7YM,4.413336,11.999863
TCGA-E1-A7YN,4.0337048,13.026431
TCGA-E1-A7YO,-3.2949762,7.120569
TCGA-E1-A7YQ,6.70202,10.719672
TCGA-E1-A7YS,-1.0294806,7.438433
TCGA-E1-A7YU,-0.98344266,13.09739
TCGA-E1-A7YV,1.1613567,12.153204
TCGA-E1-A7YW,-0.8635123,13.668314
TCGA-E1-A7Z2,4.819387,10.781528
TCGA-E1-A7Z3,0.006055073,13.589644
TCGA-E1-A7Z4,1.0089884,12.169869
TCGA-E1-A7Z6,-0.11535293,13.332622
TCGA-EZ-7264,-1.3860792,7.879126
TCGA-F6-A8O3,-0.86875856,8.1584015
TCGA-F6-A8O4,-0.21178204,13.454601
TCGA-FG-5962,-1.6648877,6.9291525
TCGA-FG-5964,-0.8433981,8.48635
TCGA-FG-5965,0.15128048,13.584533
TCGA-FG-6688,4.9484982,13.141818
TCGA-FG-6689,0.728178,11.9914665
TCGA-FG-6690,0.076016515,13.507797
TCGA-FG-6691,0.17015472,14.334657
TCGA-FG-6692,7.94087,11.960521
TCGA-FG-7634,-1.7947533,6.9387217
TCGA-FG-7636,-0.8442673,7.432158
TCGA-FG-7638,-0.8207929,8.038646
TCGA-FG-7641,-2.327855,8.285196
TCGA-FG-7643,8.190353,11.794878
TCGA-FG-8182,-0.013680677,13.542545
TCGA-FG-8185,-3.4005094,7.8927655
TCGA-FG-8186,-3.176649,6.716459
TCGA-FG-8187,-3.7268422,6.8773713
TCGA-FG-8188,-3.412441,6.4754906
TCGA-FG-8191,0.27312523,11.968264
TCGA-FG-A4MT,-0.9120992,11.621277
TCGA-FG-A4MU,7.967809,9.64345
TCGA-FG-A4MW,7.5277843,11.426144
TCGA-FG-A4MX,-0.29419443,11.995383
TCGA-FG-A4MY,-0.3441223,12.190523
TCGA-FG-A60J,-0.62796175,12.92435
TCGA-FG-A60K,-3.4269454,7.755196
TCGA-FG-A60L,0.19674991,13.248852
TCGA-FG-A6IZ,-0.9549513,8.319803
TCGA-FG-A6J1,-0.9268047,8.059713
TCGA-FG-A6J3,-0.44448015,11.523251
TCGA-FG-A70Y,-0.78364676,13.548559
TCGA-FG-A70Z,5.0582714,13.044041
TCGA-FG-A710,-3.5357249,6.9854484
TCGA-FG-A711,0.24496801,13.456128
TCGA-FG-A713,-3.3978624,7.7014694
TCGA-FG-A87N,-0.44191545,12.881232
TCGA-FG-A87Q,7.6258264,12.173868
TCGA-FN-7833,-0.8102755,12.5230665
TCGA-HT-7467,-0.7668225,8.038575
TCGA-HT-7468,-0.7864951,7.3670173
TCGA-HT-7470,0.57539254,12.041101
TCGA-HT-7471,-0.99068016,8.234425
TCGA-HT-7472,-0.5276863,12.820834
TCGA-HT-7473,0.3752232,14.246366
TCGA-HT-7474,0.3853028,12.112434
TCGA-HT-7475,-0.30868486,12.209612
TCGA-HT-7476,-0.8641657,13.725308
TCGA-HT-7477,5.8697133,12.238923
TCGA-HT-7478,0.5708176,12.016863
TCGA-HT-7479,-0.6815661,13.55152
TCGA-HT-7480,-0.89121884,7.510029
TCGA-HT-7481,-3.1691456,7.922466
TCGA-HT-7482,-0.80402887,13.715724
TCGA-HT-7483,-0.46358207,12.890599
TCGA-HT-7485,-0.732255,12.758576
TCGA-HT-7601,-0.29027718,12.717268
TCGA-HT-7602,-3.415729,8.07351
TCGA-HT-7603,-0.83697444,13.037647
TCGA-HT-7604,-0.29066062,13.879709
TCGA-HT-7605,-2.4054892,8.267317
TCGA-HT-7606,-0.8382337,11.4428625
TCGA-HT-7607,-2.3643177,7.174872
TCGA-HT-7608,-3.5856564,6.719399
TCGA-HT-7609,-0.47892916,13.189087
TCGA-HT-7610,-0.2090687,14.044546
TCGA-HT-7611,-0.16948578,12.658952
TCGA-HT-7616,-2.1396189,7.822033
TCGA-HT-7620,-3.543738,7.5643315
TCGA-HT-7676,-0.90442765,13.383216
TCGA-HT-7677,-0.70907384,8.021576
TCGA-HT-7681,-3.1908467,7.762326
TCGA-HT-7684,0.2854285,13.027829
TCGA-HT-7686,0.7381466,12.267207
TCGA-HT-7687,-3.4824839,6.671562
TCGA-HT-7688,0.1959478,11.766053
TCGA-HT-7689,-0.6824326,11.72371
TCGA-HT-7690,0.68355656,11.901056
TCGA-HT-7692,-1.0412105,8.213642
TCGA-HT-7693,0.43619084,13.411606
TCGA-HT-7694,-3.2594151,7.8520226
TCGA-HT-7695,-3.228355,7.507976
TCGA-HT-7854,-0.52498704,12.899081
TCGA-HT-7855,-0.0051365728,12.437636
TCGA-HT-7856,-1.2779149,8.406402
TCGA-HT-7858,-0.7205909,13.038394
TCGA-HT-7860,8.090191,9.685872
TCGA-HT-7873,-0.59172577,12.899886
TCGA-HT-7874,-3.3826458,7.6007037
TCGA-HT-7875,-3.720441,6.8304176
TCGA-HT-7877,-3.4650762,7.4854403
TCGA-HT-7879,0.41963825,12.75404
TCGA-HT-7880,-0.27775684,13.423946
TCGA-HT-7881,-3.3592389,7.6876264
TCGA-HT-7882,8.087695,9.80552
TCGA-HT-7884,0.72007483,12.365379
TCGA-HT-7902,1.2542709,12.272046
TCGA-HT-8010,-3.1625674,7.405143
TCGA-HT-8011,5.159841,13.406503
TCGA-HT-8012,-2.169598,7.8037963
