,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
TCGA-DU-5849,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029585798816568047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8398058252427184,-0.0033112582781456954,-0.9988137603795967,-0.998139534883721,-0.05930470347648262,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,-0.0016750418760469012,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DU-5851,0.0,-0.0017123287671232876,-0.5958904109589042,0.0,0.0,0.0,0.0,-0.35901386748844377,0.0,0.0,0.0,0.0,0.0,0.0,-0.05339805825242718,0.0,-0.8837485172004745,0.0,-0.0010224948875255625,0.0,0.0,0.0,0.0,0.0,-0.001282051282051282,0.0,-0.001763668430335097,0.0,-0.5357833655705996,0.0,0.0,0.0,-0.011655011655011656,0.0,-0.0016155088852988692,0.0,0.0,-0.6834862385321101,0.0
TCGA-DU-5852,-1.0,-0.9982876712328768,-0.00228310502283105,0.0,0.0,0.0,-0.38461538461538464,-0.9984591679506933,-0.004975124378109453,0.0,-0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,-0.12093023255813953,-0.002044989775051125,0.0,0.0,0.0,-1.0,0.0,-0.001282051282051282,-0.0019880715705765406,0.0,-0.4861111111111111,0.0,0.0,-0.0027210884353741495,0.0,0.0,0.0,0.0,0.0,0.0,-0.3669724770642202,-0.003430531732418525
TCGA-DU-5853,0.0,-0.17294520547945205,-0.5593607305936074,-0.0011961722488038277,0.0,-0.04648074369189907,-0.7633136094674556,0.0,0.0,0.0,0.0,-0.3538011695906433,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010224948875255625,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.001763668430335097,0.0,-0.9323017408123792,0.0,0.0,0.0,0.0,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-5854,-1.0,-0.9982876712328768,0.0,0.0,0.0,0.0,-0.0029585798816568047,0.0,0.0,0.0,0.0,0.0,-0.042270531400966184,-0.04285714285714286,-0.6067961165048543,0.0,0.0,0.0,-0.0010224948875255625,0.0,0.0,-0.0049504950495049506,-0.0021413276231263384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004662004662004662,0.0,0.0,0.0,0.0,-0.43119266055045874,-0.0017152658662092624
TCGA-DU-5855,0.0,0.0,0.0,0.0,-0.07665505226480836,0.0,0.0,-0.5485362095531587,0.0,0.0,-0.3557951482479784,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18974358974358974,-0.0019880715705765406,0.0,0.0,-0.0019342359767891683,0.0,0.0,0.0,-0.7995337995337995,0.0,-0.0630048465266559,0.0,0.0,-1.0,-0.04631217838765009
TCGA-DU-5870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8446601941747572,0.0,-0.9679715302491103,-0.9730232558139534,0.0,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DU-5871,0.0,-0.0017123287671232876,0.0,-0.0011961722488038277,-0.14634146341463414,-0.9960159362549801,-0.23076923076923078,0.0,0.0,-0.002232142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1165644171779141,0.0,-0.518918918918919,-1.0,0.0,-0.5439330543933054,0.0,0.0,-0.001763668430335097,-0.004629629629629629,-0.6034816247582205,0.0,0.0,0.0,-0.006993006993006993,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-5872,0.0,-0.2636986301369863,0.0,0.0,0.0,0.0,0.0,-0.5423728813559322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6097271648873073,-0.347906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,-0.986013986013986,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DU-5874,0.0,-0.0017123287671232876,0.0,-0.004784688995215311,0.0,-0.0013280212483399733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,-0.0010224948875255625,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,-0.001763668430335097,0.0,-0.2978723404255319,0.0,0.0,0.0,0.0,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-6392,0.0,0.0,0.0,-0.0023923444976076554,0.0,0.0,-0.9940828402366864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010224948875255625,0.0,-0.01891891891891892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019342359767891683,0.0,-0.0013605442176870747,-0.0016750418760469012,0.0,-0.046052631578947366,0.0,0.0,0.0,0.0,0.0
TCGA-DU-6393,0.0,0.0,0.0,0.0,0.0,-0.0013280212483399733,0.0,0.0,-0.9983416252072969,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.0033112582781456954,-0.9988137603795967,-0.998139534883721,-0.05930470347648262,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DU-6394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,0.0,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.003976143141153081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DU-6395,0.0,0.0,-0.05251141552511415,-0.03229665071770335,0.0,0.0,0.0,0.0,0.0,-0.002232142857142857,0.0,0.0,0.0,0.0,-0.15048543689320387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14487179487179488,0.0,-0.06525573192239859,0.0,-0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7293577981651376,0.0
TCGA-DU-6396,-0.12883435582822086,-0.9982876712328768,-1.0,-0.03229665071770335,0.0,-0.24302788844621515,0.0,-0.5839753466872111,-0.6334991708126037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6215895610913404,-0.10418604651162791,-0.2770961145194274,0.0,0.0,0.0,0.0,-0.5983263598326359,-0.1717948717948718,-0.8866799204771372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017152658662092624
TCGA-DU-6397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.901386748844376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,0.0,0.0,-0.002702702702702703,0.0,0.0,0.0,-0.001282051282051282,-0.003976143141153081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4407894736842105,0.0,0.0,0.0,-0.8807339449541285,-0.6809605488850772
TCGA-DU-6399,0.0,-0.8184931506849316,0.0,-0.014354066985645933,0.0,-0.0013280212483399733,-0.9940828402366864,-0.9984591679506933,0.0,0.0,-0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,-0.7366548042704626,0.0,-0.00408997955010225,0.0,0.0,0.0,-1.0,0.0,0.0,-0.0019880715705765406,-0.001763668430335097,-0.9953703703703703,-1.0,-1.0,-1.0,0.0,0.0,-0.12171052631578948,-0.0032310177705977385,0.0,0.0,-0.573394495412844,0.0
TCGA-DU-6400,0.0,-0.0017123287671232876,0.0,-0.0023923444976076554,0.0,-0.0013280212483399733,-0.9940828402366864,-0.0015408320493066256,-0.9983416252072969,-0.002232142857142857,0.0,-1.0,-0.998792270531401,0.0,0.0,-0.0033112582781456954,-1.0,-0.9953488372093023,-0.002044989775051125,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.003976143141153081,-0.001763668430335097,-0.9953703703703703,-1.0,0.0,0.0,-1.0,-0.9976689976689976,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-6401,0.0,-0.6301369863013698,0.0,0.0,-0.006968641114982578,-0.9960159362549801,-0.0029585798816568047,0.0,0.0,0.0,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6861924686192469,0.0,0.0,0.0,-0.004629629629629629,0.0,-0.006711409395973154,-0.8721088435374149,0.0,-0.3822843822843823,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-6402,-1.0,-0.9982876712328768,0.0,0.0,-0.08362369337979095,0.0,-0.023668639053254437,-0.24191063174114022,-0.009950248756218905,-0.26785714285714285,0.0,0.0,0.0,0.0,-0.27184466019417475,0.0,0.0,-0.11255813953488372,-0.0010224948875255625,0.0,0.0,0.0,-0.15203426124197003,0.0,0.0,-0.07157057654075547,-0.12698412698412698,0.0,0.0,0.0,-0.07891156462585033,-0.12395309882747069,0.0,0.0,0.0,0.0,-0.0024154589371980675,-1.0,-0.024013722126929673
TCGA-DU-6403,-0.3803680981595092,-0.9982876712328768,0.0,0.0,-0.6202090592334495,-0.00398406374501992,0.0,-0.41140215716486905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010224948875255625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.024013722126929673
TCGA-DU-6404,0.0,0.0,-0.0045662100456621,-0.0011961722488038277,0.0,0.0,-0.0029585798816568047,0.0,-0.001658374792703151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2676659528907923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0032310177705977385,0.0,0.0,0.0,0.0
TCGA-DU-6405,-1.0,-0.9982876712328768,0.0,0.0,0.0,0.0,0.0,-0.0030816640986132513,0.0,0.0,0.0,0.0,0.0,0.0,-0.019417475728155338,0.0,-0.0011862396204033216,-0.29953488372093023,-0.002044989775051125,0.0,0.0,0.0,0.0,0.0,-0.005128205128205128,-0.009940357852882704,-0.001763668430335097,0.0,-0.13152804642166344,0.0,0.0,0.0,-0.9627039627039627,0.0,-0.0016155088852988692,-0.0038461538461538464,0.0,-0.2798165137614679,-0.0017152658662092624
TCGA-DU-6406,-1.0,-0.9982876712328768,0.0,0.0,0.0,0.0,0.0,-0.0030816640986132513,0.0,0.0,-0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010224948875255625,0.0,0.0,-0.09900990099009901,0.0,0.0,0.0,-0.003976143141153081,0.0,0.0,0.0,-0.087248322147651,-0.0027210884353741495,0.0,0.0,0.0,-0.0016155088852988692,0.0,0.0,-0.1743119266055046,-0.0017152658662092624
TCGA-DU-6407,0.0,-0.2071917808219178,0.0,-0.08732057416267942,0.0,0.0,-0.9970414201183432,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-0.0010224948875255625,0.0,0.0,0.0,0.0,0.0,-0.12307692307692308,0.0,0.0,-0.009259259259259259,0.0,0.0,0.0,-0.11390284757118928,0.0,0.0,0.0,0.0,0.0,-0.27522935779816515,0.0
TCGA-DU-6408,0.0,-0.13356164383561644,-0.9223744292237442,-0.0023923444976076554,0.0,0.0,-0.9940828402366864,-0.39599383667180277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9655990510083037,0.0,-0.0010224948875255625,0.0,0.0,0.0,0.0,-0.03138075313807531,-0.9987179487179487,0.0,0.0,0.0,0.0,-0.006711409395973154,-0.8231292517006803,0.0,0.0,0.0,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-6410,0.0,-0.0017123287671232876,0.0,-0.0011961722488038277,0.0,0.0,-0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,-0.0010224948875255625,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,-0.005291005291005291,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-0.004846526655896607,0.0,0.0,0.0,0.0
TCGA-DU-6542,0.0,0.0,0.0,0.0,-1.0,-0.6095617529880478,-0.0029585798816568047,-0.5978428351309707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7615658362989324,0.0,-0.08486707566462168,0.0,0.0,0.0,-0.07922912205567452,0.0,-0.28717948717948716,-0.9980119284294234,-0.7407407407407407,-0.004629629629629629,0.0,0.0,0.0,0.0,-0.9813519813519813,0.0,0.0,0.0,0.0,-0.518348623853211,-0.0017152658662092624
TCGA-DU-7006,-1.0,-0.9982876712328768,-1.0,-0.9988038277511961,0.0,-0.0013280212483399733,-1.0,-0.17411402157164868,-0.001658374792703151,-0.25892857142857145,0.0,0.0,-0.008454106280193236,0.0,0.0,0.0,-0.0011862396204033216,-0.35348837209302325,-0.002044989775051125,0.0,0.0,0.0,-0.004282655246252677,0.0,0.0,-0.0019880715705765406,-0.001763668430335097,-0.004629629629629629,0.0,0.0,0.0,0.0,-0.668997668997669,0.0,-0.0032310177705977385,-0.9961538461538462,-1.0,-1.0,-0.34133790737564323
TCGA-DU-7007,0.0,-0.3150684931506849,-0.9954337899543378,-0.0011961722488038277,-0.13937282229965156,-0.9893758300132802,-0.0029585798816568047,-0.9984591679506933,-0.9220563847429519,0.0,-0.0026954177897574125,0.0,0.0,0.0,0.0,0.0,-0.7686832740213523,0.0,-0.0010224948875255625,0.0,0.0,0.0,-0.6873661670235546,0.0,-0.1858974358974359,0.0,-0.9876543209876543,-0.004629629629629629,-0.35589941972920697,-1.0,-1.0,0.0,0.0,0.0,-0.0032310177705977385,0.0,0.0,-1.0,-0.9965694682675815
TCGA-DU-7008,0.0,-0.821917808219178,-0.8082191780821918,-0.0023923444976076554,0.0,-0.6122177954847278,-0.9970414201183432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002044989775051125,0.0,0.0,0.0,-1.0,-0.008368200836820083,-0.1346153846153846,0.0,-0.001763668430335097,-0.004629629629629629,-0.9303675048355899,0.0,0.0,0.0,0.0,-0.006578947368421052,-0.0016155088852988692,0.0,0.0,0.0,0.0
TCGA-DU-7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-0.0033112582781456954,-0.9988137603795967,-0.9953488372093023,0.0,0.0,-0.002702702702702703,0.0,0.0,0.0,0.0,-0.0019880715705765406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCGA-DU-7010,0.0,-0.821917808219178,-1.0,-0.9988038277511961,-0.06620209059233449,-0.47941567065073043,-0.9970414201183432,-0.9984591679506933,-0.5373134328358209,-0.002232142857142857,-0.0026954177897574125,-1.0,-0.5640096618357487,0.0,0.0,0.0,-0.5824436536180309,0.0,-0.002044989775051125,-0.4067796610169492,-0.0945945945945946,-1.0,0.0,-1.0,0.0,-0.9960238568588469,-0.19753086419753085,-0.004629629629629629,-0.9323017408123792,-0.006711409395973154,-0.9972789115646259,0.0,0.0,-0.019736842105263157,-0.025848142164781908,-0.019230769230769232,0.0,0.0,-0.0017152658662092624
TCGA-DU-7011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03648424543946932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
